@relation sentiment

@attribute "1,-1" numeric
@attribute "1,-2" numeric
@attribute "1,-3" numeric
@attribute "1,-4" numeric
@attribute "1,-5" numeric
@attribute "2,-1" numeric
@attribute "2,-2" numeric
@attribute "2,-3" numeric
@attribute "2,-4" numeric
@attribute "2,-5" numeric
@attribute "3,-1" numeric
@attribute "3,-2" numeric
@attribute "3,-3" numeric
@attribute "3,-4" numeric
@attribute "3,-5" numeric
@attribute "4,-1" numeric
@attribute "4,-2" numeric
@attribute "4,-3" numeric
@attribute "4,-4" numeric
@attribute "4,-5" numeric
@attribute "5,-1" numeric
@attribute "5,-2" numeric
@attribute "5,-3" numeric
@attribute "5,-4" numeric
@attribute "5,-5" numeric
@attribute classification {P, PE}

@data
20,3,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
14,4,1,0,0,9,1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
23,2,0,0,0,9,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
13,4,0,0,0,3,1,1,0,0,3,2,0,0,0,3,1,0,0,0,1,0,0,0,0,PE
23,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
9,0,0,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
26,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
13,0,0,0,0,2,0,0,1,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,PE
16,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
12,2,0,0,0,4,2,0,0,0,11,2,0,0,0,2,1,0,0,0,0,0,0,0,0,PE
28,1,2,0,0,21,0,1,0,0,9,1,0,0,0,3,0,0,0,0,0,0,0,0,0,PE
16,0,0,0,0,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
22,2,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
15,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
