@relation sentiment

@attribute "-5" numeric
@attribute "-4" numeric
@attribute "-3" numeric
@attribute "-2" numeric
@attribute "-1" numeric
@attribute "0" numeric
@attribute "1" numeric
@attribute "2" numeric
@attribute "3" numeric
@attribute "4" numeric
@attribute "5" numeric
@attribute classification {P, PE}

@data
0,0,1,6,0,1289,0,9,9,0,0,PE
0,0,0,1,0,786,0,2,15,0,0,PE
0,0,0,11,0,1723,0,15,15,3,0,PE
0,0,2,5,0,1999,0,25,13,3,0,PE
0,0,0,1,0,673,0,6,7,0,0,PE
0,0,0,4,0,1626,0,23,8,0,0,PE
0,0,0,1,0,626,0,3,5,0,0,PE
0,0,0,11,0,1380,0,17,13,0,0,PE
0,0,0,6,0,1107,0,11,2,0,0,PE
0,0,0,14,0,1652,0,27,12,1,0,PE
0,0,0,4,0,1224,0,16,8,0,0,PE
0,0,1,9,0,1716,0,19,10,3,0,PE
0,0,0,1,0,542,0,1,1,1,0,PE
0,0,0,7,0,1262,0,12,10,1,0,PE
0,0,2,7,0,1225,0,16,6,0,0,PE
0,0,3,20,0,1140,0,6,1,4,0,PE
0,2,4,14,0,1528,0,17,4,0,0,PE
0,0,0,6,0,1061,0,11,1,0,0,PE
0,0,3,21,0,4326,0,57,38,10,0,PE
0,0,0,4,0,666,0,8,0,1,0,PE
0,0,0,1,0,968,0,14,6,2,0,PE
0,0,0,8,0,1521,0,18,7,1,0,PE
0,0,0,11,0,1349,0,9,9,0,0,PE
0,1,1,4,0,1663,0,15,3,0,0,PE
0,0,1,12,0,1412,0,20,9,3,1,PE
0,0,1,8,0,2456,0,31,19,2,0,PE
0,0,0,4,0,1772,0,13,1,2,0,PE
0,1,0,10,0,1365,0,26,11,1,0,PE
0,0,0,6,0,1676,0,20,3,0,0,PE
0,1,2,15,0,2450,0,29,8,4,0,PE
0,0,1,2,0,745,0,6,8,0,0,PE
0,0,1,7,0,916,0,6,6,0,0,PE
0,0,0,2,0,708,0,12,3,0,0,PE
0,0,0,2,0,923,0,13,10,2,0,PE
0,0,0,4,0,693,0,11,9,0,0,PE
0,0,2,4,0,923,0,10,10,0,0,PE
0,0,2,7,0,1225,0,16,6,0,0,PE
0,0,0,6,0,884,0,8,3,0,0,PE
0,0,0,10,0,1165,0,13,9,0,0,PE
0,5,12,38,0,4777,0,63,22,9,0,PE
0,0,0,7,0,1529,0,18,8,0,0,PE
0,0,0,5,0,986,0,12,6,2,0,PE
0,0,0,5,0,953,0,10,2,1,0,PE
0,0,2,8,0,1807,0,18,2,1,0,PE
0,1,0,5,0,954,0,6,3,0,0,PE
0,0,1,14,0,2764,0,42,12,2,0,PE
0,0,0,1,0,675,0,7,7,0,0,PE
